City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Avarua,CK,2021-01-26 22:16:04,-21.2078,-159.775,86.0,66,20,18.41
68,Khatanga,RU,2021-01-26 22:16:04,71.9667,102.5,-24.77,82,51,8.16
69,Carnarvon,AU,2021-01-26 22:16:04,-24.8667,113.6333,69.8,68,40,18.41
70,Brookhaven,US,2021-01-26 22:16:04,31.5791,-90.4407,66.99,73,93,1.99
71,Cabo San Lucas,MX,2021-01-26 22:12:28,22.8909,-109.9124,69.01,59,89,5.01
72,Dikson,RU,2021-01-26 22:16:05,73.5069,80.5464,-24.66,85,100,6.29
73,Shorapur,IN,2021-01-26 22:16:05,16.5167,76.75,66.13,48,7,6.2
74,Fortuna,US,2021-01-26 22:16:05,40.5982,-124.1573,45.0,93,1,37.98
75,Bethel,US,2021-01-26 22:12:51,41.3712,-73.414,27.0,86,90,8.05
76,Abu Dhabi,AE,2021-01-26 22:15:12,24.4667,54.3667,68.0,77,20,2.3
77,Aquiraz,BR,2021-01-26 22:16:05,-3.9014,-38.3911,82.4,74,75,6.91
78,Ahipara,NZ,2021-01-26 22:16:05,-35.1667,173.1667,73.26,65,1,2.53
79,Alugan,PH,2021-01-26 22:16:06,12.2188,125.4808,78.55,86,100,10.29
80,Omboue,GA,2021-01-26 22:16:06,-1.5746,9.2618,78.19,88,100,5.35
81,Ketchikan,US,2021-01-26 22:16:06,55.3422,-131.6461,33.8,64,1,8.05
82,Ulcinj,ME,2021-01-26 22:16:06,41.9294,19.2244,41.0,38,20,16.11
83,New Norfolk,AU,2021-01-26 22:16:06,-42.7826,147.0587,57.0,61,8,1.99
84,Ribeira Grande,PT,2021-01-26 22:16:07,38.5167,-28.7,62.67,88,100,42.12
85,Hofn,IS,2021-01-26 22:16:07,64.2539,-15.2082,25.66,89,50,25.72
86,Esperance,AU,2021-01-26 22:16:07,-33.8667,121.9,62.6,82,90,11.5
87,Mehamn,NO,2021-01-26 22:16:07,71.0357,27.8492,26.6,68,90,20.71
88,Cape Town,ZA,2021-01-26 22:12:11,-33.9258,18.4232,68.0,82,20,16.11
89,Port Lincoln,AU,2021-01-26 22:16:07,-34.7333,135.8667,62.83,74,98,13.71
90,Norman Wells,CA,2021-01-26 22:16:07,65.282,-126.8329,-18.4,76,75,3.44
91,Touros,BR,2021-01-26 22:16:08,-5.1989,-35.4608,79.7,74,66,14.85
92,Cabedelo,BR,2021-01-26 22:16:08,-6.9811,-34.8339,80.6,78,20,11.5
93,Saint-Joseph,RE,2021-01-26 22:16:08,-21.3667,55.6167,77.0,65,0,5.75
94,Dondo,MZ,2021-01-26 22:16:08,-19.6094,34.7431,80.01,89,20,2.8
95,Tagab,AF,2021-01-26 22:16:08,34.855,69.6492,26.6,54,0,2.3
96,Thompson,CA,2021-01-26 22:16:08,55.7435,-97.8558,-5.8,71,75,2.3
97,Atuona,PF,2021-01-26 22:16:09,-9.8,-139.0333,78.37,76,1,17.54
98,Georgetown,MY,2021-01-26 22:15:54,5.4112,100.3354,78.8,88,20,2.3
99,Mahibadhoo,MV,2021-01-26 22:16:09,3.7833,72.9667,80.73,74,93,14.85
100,Salalah,OM,2021-01-26 22:16:09,17.0151,54.0924,68.0,68,0,2.3
101,Pontianak,ID,2021-01-26 22:16:10,-0.0333,109.3333,75.2,100,75,1.14
102,Buala,SB,2021-01-26 22:16:10,-8.145,159.5921,84.33,73,66,12.41
103,Chunhuhub,MX,2021-01-26 22:16:10,19.55,-88.6833,86.41,55,5,7.85
104,Alice Springs,AU,2021-01-26 22:16:10,-23.7,133.8833,77.0,83,40,9.22
105,Kaseda,JP,2021-01-26 22:16:10,31.4167,130.3167,50.0,93,75,16.11
106,Hamilton,US,2021-01-26 22:15:11,39.1834,-84.5333,45.0,76,90,11.5
107,Aripuana,BR,2021-01-26 22:13:44,-9.1667,-60.6333,79.52,87,100,0.89
108,Hobart,AU,2021-01-26 22:15:02,-42.8794,147.3294,55.99,62,75,14.97
109,Benghazi,LY,2021-01-26 22:16:11,32.1167,20.0667,60.89,66,66,29.17
110,Castelo Branco,PT,2021-01-26 22:16:11,39.8222,-7.4909,57.99,92,75,5.01
111,Burns Lake,CA,2021-01-26 22:16:11,54.2331,-125.7533,23.0,74,98,2.3
112,Uyuni,BO,2021-01-26 22:16:11,-20.4597,-66.825,58.14,32,0,20.6
113,Narsaq,GL,2021-01-26 22:16:12,60.9167,-46.05,10.26,79,0,10.92
114,East London,ZA,2021-01-26 22:16:12,-33.0153,27.9116,74.41,79,100,10.67
115,Tuatapere,NZ,2021-01-26 22:16:12,-46.1333,167.6833,75.0,53,92,10.0
116,Yar-Sale,RU,2021-01-26 22:16:12,66.8333,70.8333,-32.1,83,7,12.57
117,Nusaybin,TR,2021-01-26 22:16:12,37.0778,41.2178,45.68,53,100,3.47
118,Havoysund,NO,2021-01-26 22:16:13,70.9963,24.6622,26.6,86,75,18.41
119,Jamestown,US,2021-01-26 22:16:13,42.097,-79.2353,36.0,93,90,14.97
120,Qiongshan,CN,2021-01-26 22:16:13,20.0058,110.3542,62.6,100,75,2.24
121,Saint-Augustin,CA,2021-01-26 22:16:13,51.226,-58.6502,25.9,94,50,13.33
122,Victoria,HK,2021-01-26 22:16:14,22.2855,114.1577,64.0,82,8,1.99
123,Tevriz,RU,2021-01-26 22:16:14,57.509,72.4042,33.15,97,100,11.23
124,Nikolskoye,RU,2021-01-26 22:16:14,59.7035,30.7861,35.6,87,75,8.95
125,Kidal,ML,2021-01-26 22:16:14,18.4411,1.4078,67.64,18,0,8.9
126,Qaanaaq,GL,2021-01-26 22:16:14,77.484,-69.3632,-15.21,65,0,7.43
127,Mao,ES,2021-01-26 22:16:15,39.8885,4.2658,51.8,82,20,11.5
128,Zernograd,RU,2021-01-26 22:16:15,46.8452,40.3083,36.0,87,100,18.01
129,Hilo,US,2021-01-26 22:16:15,19.7297,-155.09,77.0,73,75,8.05
130,Tiksi,RU,2021-01-26 22:16:15,71.6872,128.8694,-36.65,83,99,3.04
131,Hasaki,JP,2021-01-26 22:14:38,35.7333,140.8333,45.0,100,75,2.3
132,Cananea,MX,2021-01-26 22:16:16,30.95,-110.3,39.0,94,88,16.64
133,Vytegra,RU,2021-01-26 22:16:16,61.0064,36.4481,33.04,94,100,8.25
134,Ginda,IN,2021-01-26 22:16:16,30.6945,78.4932,39.11,42,0,8.34
135,Awbari,LY,2021-01-26 22:16:16,26.5921,12.7805,59.68,32,0,8.68
