City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Te Anau,NZ,-45.4167,167.7167,51.85,63,81,2.48,broken clouds
80,Sorong,ID,-0.8833,131.25,80.87,82,100,11.63,overcast clouds
81,Springbok,ZA,-29.6643,17.8865,63.66,35,0,2.98,clear sky
82,Cape Town,ZA,-33.9258,18.4232,61.0,88,0,4.61,clear sky
83,Ushuaia,AR,-54.8,-68.3,38.43,85,100,4.07,light snow
84,Beyneu,KZ,45.3167,55.2,38.35,68,100,27.6,overcast clouds
85,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,5.75,clear sky
86,Geraldton,AU,-28.7667,114.6,82.89,43,0,19.33,clear sky
87,Sorland,NO,67.667,12.6934,28.74,91,0,12.44,clear sky
88,Grand Gaube,MU,-20.0064,57.6608,75.99,83,42,3.0,scattered clouds
89,Kapaa,US,22.0752,-159.319,75.2,69,90,19.57,overcast clouds
90,Yellowknife,CA,62.456,-114.3525,-16.06,89,100,4.05,overcast clouds
91,Vardo,NO,70.3705,31.1107,23.67,91,100,25.34,overcast clouds
92,Belaya Gora,RU,68.5333,146.4167,-20.61,87,100,3.42,overcast clouds
93,Queanbeyan,AU,-35.35,149.2333,63.0,94,90,5.75,light rain
94,Dali,CN,25.7,100.1833,42.8,64,0,2.89,clear sky
95,Lazaro Cardenas,MX,17.9583,-102.2,78.08,68,8,6.35,clear sky
96,Maceio,BR,-9.6658,-35.7353,75.2,94,75,4.61,broken clouds
97,Castro,BR,-24.7911,-50.0119,65.8,95,100,3.51,overcast clouds
98,Creel,MX,27.75,-107.6333,44.56,56,21,4.07,few clouds
99,Sakaiminato,JP,35.55,133.2333,32.0,80,75,27.63,light snow
100,Verkhnevilyuysk,RU,63.4453,120.3167,-52.29,76,55,2.04,broken clouds
101,Arman,RU,59.7,150.1667,-12.44,78,100,10.11,overcast clouds
102,Bereda,ES,43.2686,-7.5406,53.94,94,100,8.23,light rain
103,Avarua,CK,-21.2078,-159.775,81.03,75,47,12.59,scattered clouds
104,Kodiak,US,57.79,-152.4072,32.41,96,100,24.25,snow
105,Sikeston,US,36.8767,-89.5879,32.0,69,1,5.21,clear sky
106,Asau,RO,46.4333,26.4,33.8,60,75,11.5,light snow
107,Kysyl-Syr,RU,63.8986,122.7617,-53.73,69,54,2.3,broken clouds
108,Kruisfontein,ZA,-34.0033,24.7314,57.0,89,0,4.68,clear sky
109,Tuatapere,NZ,-46.1333,167.6833,48.0,80,96,8.01,overcast clouds
110,Ponta Do Sol,PT,32.6667,-17.1,57.99,75,49,1.99,scattered clouds
111,East London,ZA,-33.0153,27.9116,66.9,78,0,7.36,clear sky
112,Vitim,RU,59.4511,112.5578,-42.23,77,60,2.59,broken clouds
113,Killybegs,IE,54.6333,-8.45,44.01,93,44,3.0,scattered clouds
114,Clyde River,CA,70.4692,-68.5914,-20.2,76,1,2.3,clear sky
115,Maple Grove,US,45.0725,-93.4558,21.2,63,90,10.36,overcast clouds
116,Kaitangata,NZ,-46.2817,169.8464,52.0,83,100,10.0,overcast clouds
117,Nouakchott,MR,18.0858,-15.9785,68.0,19,0,10.36,clear sky
118,Neuquen,AR,-38.9516,-68.0591,68.0,49,0,6.91,light rain
119,Cidreira,BR,-30.1811,-50.2056,72.41,94,100,14.76,overcast clouds
120,Hualmay,PE,-11.0964,-77.6139,70.68,81,100,7.2,overcast clouds
121,Taoudenni,ML,22.6783,-3.9836,66.51,27,0,16.96,clear sky
122,Iqaluit,CA,63.7506,-68.5145,-11.2,77,1,23.02,snow
123,Port Hardy,CA,50.6996,-127.4199,41.0,70,20,2.3,few clouds
